Year	Agric	Const	Manuf	Other	Trans	Hydro	Unemploy	Partc	Noninst	Rev	Exp	Fisbal	FisbalNon
2022	21.8	72.6	39.6	383.1	34.7	9.8	4.9	55	1080.7	57912.7	55509.2	2403.5	-31306.7
2021	26.9	68.7	40.8	375.6	33.1	12.1	5.4	54.8	1080.1	39852.8	50509.1	-10656.3	-23050.5
2020	28.1	69.8	35.9	383.9	35.4	12.8	5.7	55.9	1079.6	33398.3	50742	-17343.7	-24266.8
2019	20.3	83.2	44.8	388.7	37.5	11.3	4.3	57.3	1076.4	45402.2	50760.8	-5358.6	-21054.2
2018	23.1	88.7	48.2	393.1	38.6	13.7	3.9	59.1	1072.4	45460.2	49986.4	-4526.2	-15825.3
2017	22.3	88.6	48.9	384.1	42.6	14.5	4.8	59.2	1071.2	37223.4	48529.9	-11306.5	-20127.7
2016	19.8	100.7	48.3	379.9	44.5	18.4	3.9	59.7	1068.5	41773.4	51381	-9607.6	-12632.8
2015	21.3	101.8	51.2	381.9	44.3	20.5	3.4	60.6	1065.1	55704.7	59516.9	-3812.1	-12464.1
2014	22.9	106.2	50.4	388.1	43.9	21.3	3.3	61.9	1063.4	55686.2	63950.4	-8264.1	-35842.8
2013	22	107.3	51.1	375.8	46.1	20.7	3.7	61.4	1059.6	57617.8	58369.8	-752	-25060.8
2012	22.9	103.6	51	371.8	43	20.1	4.9	61.9	1044.1	47062	52284.2	-5222.2	-28658.1
2011	21.7	97.7	50.2	354.1	40.8	18.8	5.1	61.3	1005.7	50084.5	48993.5	1091	-28318.4
2010	21.5	100.6	52.1	350	37.9	18.6	5.9	62.1	997	45064	43606.5	1457.4	-22195.5
2009	22.9	113.4	53.1	338.7	39.6	19.3	5.3	62.6	991.1	38598	45127.8	-6529.8	-24985
2008	23	116.4	56	340.3	41.1	20.2	4.6	63.5	987	57821.4	45974.8	11846.6	-22435.5
2007	22.4	110.2	55.4	336.5	41.5	21.5	5.5	63.5	980.9	40696.6	40063.9	632.7	-18975.3
2006	25.7	104.5	56.2	335.6	42.7	19.7	6.2	63.9	978.3	38558.2	31900.3	6657.8	-14453.7
2005	25	101.8	56.6	327.1	41.8	19.3	8	63.7	979	31917.7	25601.9	6315.8	-9536.1
2004	26	91.1	60.3	322.9	41.6	18.6	8.4	63	973.6	22026.3	20093.5	1932.8	-6226.6
2003	31.4	80	55.8	307.3	41.6	16.1	10.5	61.6	968.3	17858.4	16023.4	1835	-5069.7
2002	36.1	75.6	56.6	296.4	41.8	17.2	10.4	60.9	961.8	14555.9	14369.1	186.8	-3744.2
2001	40.1	78.8	53.9	285.3	38.9	15.5	10.8	60.4	954.9	13415.5	13456.1	-40.6	-3734.2
2000	36.4	69.7	55.6	285.9	39.2	15.9	12.2	61.2	936.1	13036.5	12217.5	819.1	-3584.5
1999	39.6	67.1	53.6	277.9	35.8	15.1	13.1	60.8	926.1	9714	11069.3	-1355.3	-3355
1998	38.9	65.1	52.4	269.4	35.5	17.6	14.2	61.2	913.4	9103	10399.4	-1296.4	-3003.3
1997	43.7	56.9	47.6	262.9	31.8	16.7	15	60.3	896.7	9904.5	9903.5	1	-2068.8
1996	42.6	51.6	45.4	257.4	30.7	16.4	16.3	60.5	876.7	9542.4	9370.8	171.6	-2889.1
1995	45.9	49.4	45	244.6	30.8	15.8	17.2	60.2	864.8	8409.9	8455	-45.1	-2599.8
1994	51.2	48.6	41.5	228.9	29.8	15.3	18.4	59.4	857.3	7564.8	7549.9	14.9	-1881
1993	45.8	51.4	40.7	221.8	30	14.8	19.7	59.5	847.9	6743.5	6672.4	71.1	-1733.1
1992	46.9	51.6	42.5	220	23.6	15.3	19.6	60.1	841.1	6100.9	6613	-512.1	-2329.7
1991	47.1	53.9	43.7	210.9	27.3	17.8	18.5	58.8	837.3	5696.2	6744.9	-1048.8	-3766.3
